id,country,product_group,shipment_mode,vendor,managed_by,fulfill_via,scheduled_date,delivered_date,year,month,year_month,freight_cost_usd,weight_kg,cost_per_kg,freight_category,delivery_status,days_variance,line_item_value,is_on_time,is_late,is_air,is_truck
1122,Haiti,HRDT,Air,Orasure Technologies Inc.,PMO - US,Direct Drop,2009-09-16,2009-09-16,2009,9,2009-09,3128.19,144,21.723541666666662,Numeric,On-Time,0,21000,1,0,1,0
1134,Kenya,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2009-07-10,2009-07-10,2009,7,2009-07,16835.31,2215,7.600591422121897,Numeric,On-Time,0,600000,1,0,1,0
1140,Nigeria,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2009-08-18,2009-08-18,2009,8,2009-08,24514.33,1915,12.801216710182768,Numeric,On-Time,0,511600,1,0,1,0
1156,Rwanda,ARV,Air,HETERO LABS LIMITED,PMO - US,Direct Drop,2009-07-25,2009-07-25,2009,7,2009-07,37404.74,4482,8.345546630968316,Numeric,On-Time,0,386384.88,1,0,1,0
1162,Côte d'Ivoire,HRDT,Air,BIO-RAD LABORATORIES (FRANCE),PMO - US,Direct Drop,2009-09-15,2009-09-15,2009,9,2009-09,8074.03,1101,7.333360581289736,Numeric,On-Time,0,110000,1,0,1,0
1179,Vietnam,ARV,Air,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),PMO - US,Direct Drop,2009-07-17,2009-07-17,2009,7,2009-07,3366.04,48,70.12583333333333,Numeric,On-Time,0,613.76,1,0,1,0
1183,Vietnam,ARV,Air,Aurobindo Pharma Limited,PMO - US,Direct Drop,2009-07-10,2009-07-10,2009,7,2009-07,6341.88,1804,3.5154545454545456,Numeric,On-Time,0,39025,1,0,1,0
1196,Botswana,HRDT,Air,Orasure Technologies Inc.,PMO - US,Direct Drop,2009-06-12,2009-07-10,2009,6,2009-06,684.42,12,57.035,Numeric,Late,28,1750,0,1,1,0
1198,Namibia,HRDT,Air,"Orgenics, Ltd",PMO - US,Direct Drop,2009-09-01,2009-09-01,2009,9,2009-09,401.97,48,8.374375,Numeric,On-Time,0,5025,1,0,1,0
1213,Vietnam,ARV,Air,BRISTOL-MYERS SQUIBB,PMO - US,Direct Drop,2009-07-28,2009-07-28,2009,7,2009-07,14.36,148,0.09702702702702702,Numeric,On-Time,0,2800,1,0,1,0
1215,Namibia,HRDT,Air,"Trinity Biotech, Plc",PMO - US,Direct Drop,2009-06-29,2009-06-29,2009,6,2009-06,1736.18,79,21.976962025316457,Numeric,On-Time,0,7040,1,0,1,0
