id,project_code,country,managed_by,fulfill_via,vendor_inco_term,product_group,sub_class,vendor,shipment_mode,shipment_mode_clean,scheduled_date,delivered_date,recorded_date,year,month,year_month,weight_kg,freight_cost_usd,freight_category,freight_flag,freight_outlier_flag,line_item_value,cost_per_kg,delivery_status,days_variance
11350,111-MZ-T01,Mozambique,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Truck,Truck,2009-10-07,2009-10-07,2009-10-07,2009,10,2009-10,1404,1588.05,Numeric,FALSE,FALSE,82017.36,1.1310897435897436,On-Time,0
11351,111-MZ-T01,Mozambique,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Truck,Truck,2009-10-07,2009-10-07,2009-10-07,2009,10,2009-10,NA,NA,Cross-reference,TRUE,FALSE,84194.64,NA,On-Time,0
11352,113-ZW-T01,Zimbabwe,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Truck,Truck,2009-09-22,2009-09-22,2009-09-22,2009,9,2009-09,9020,14958.2,Numeric,FALSE,FALSE,42480,1.6583370288248338,On-Time,0
11353,151-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air Charter,Air Charter,2009-10-20,2009-10-20,2009-10-20,2009,10,2009-10,6862,9341.49,Numeric,FALSE,FALSE,694602,1.3613363450888953,On-Time,0
11354,151-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air Charter,Air Charter,2009-10-20,2009-10-20,2009-10-20,2009,10,2009-10,2023,9341.49,Numeric,FALSE,FALSE,293750,4.617642115669797,On-Time,0
11356,110-ZM-T01,Zambia,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Truck,Truck,2009-10-13,2009-10-13,2009-10-13,2009,10,2009-10,3626,4997.47,Numeric,FALSE,FALSE,350400,1.3782322118036405,On-Time,0
11357,106-HT-T01,Haiti,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2009-10-21,2009-10-21,2009-10-21,2009,10,2009-10,6967,75688.58,Numeric,FALSE,TRUE,525179.52,10.863869671307594,On-Time,0
11358,100-GH-T01,Ghana,PMO - US,From RDC,N/A - From RDC,ARV,Pediatric,SCMS from RDC,Truck,Truck,2009-09-30,2009-08-12,2009-08-12,2009,9,2009-09,NA,0,Included,TRUE,FALSE,1.29,NA,On-Time,-49
11361,109-TZ-T01,Tanzania,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Truck,Truck,2010-01-14,2010-01-14,2010-01-14,2010,1,2010-01,640,2751,Numeric,FALSE,FALSE,136573.92,4.2984375,On-Time,0
11367,107-RW-T01,Rwanda,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2007-03-17,2007-03-17,2007-03-17,2007,3,2007-03,256,12205.4,Numeric,FALSE,FALSE,68000,47.67734375,On-Time,0
11368,100-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-03-15,2007-03-15,2007-03-15,2007,3,2007-03,NA,NA,Cross-reference,TRUE,FALSE,18248.4,NA,On-Time,0
11369,100-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-03-15,2007-03-15,2007-03-15,2007,3,2007-03,NA,NA,Cross-reference,TRUE,FALSE,1453.65,NA,On-Time,0
11370,110-ZM-T01,Zambia,PMO - US,From RDC,N/A - From RDC,HRDT,HIV test,SCMS from RDC,N/A,NA,2007-04-02,2007-04-02,2007-04-02,2007,4,2007-04,191,1200.12,Numeric,FALSE,FALSE,11220,6.283350785340313,On-Time,0
11372,112-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-04-17,2007-04-17,2007-04-17,2007,4,2007-04,NA,NA,Cross-reference,TRUE,FALSE,55411.5,NA,On-Time,0
11373,100-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-05-04,2007-05-04,2007-05-04,2007,5,2007-05,410,1931,Numeric,FALSE,FALSE,73125,4.709756097560976,On-Time,0
11374,100-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-04-30,2007-04-30,2007-04-30,2007,4,2007-04,206,1583,Numeric,FALSE,FALSE,36496.8,7.684466019417476,On-Time,0
11376,109-TZ-T01,Tanzania,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2007-06-06,2007-06-06,2007-06-06,2007,6,2007-06,2630,13820.4,Numeric,FALSE,FALSE,304508.16,5.254904942965779,On-Time,0
11377,113-ZW-T01,Zimbabwe,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-04-18,2007-04-18,2007-04-18,2007,4,2007-04,25,516.84,Numeric,FALSE,FALSE,4113.17,20.6736,On-Time,0
11378,112-NG-T01,Nigeria,PMO - US,From RDC,N/A - From RDC,ARV,Pediatric,SCMS from RDC,N/A,NA,2007-05-23,2007-05-23,2007-05-23,2007,5,2007-05,NA,NA,Cross-reference,TRUE,FALSE,4133.5,NA,On-Time,0
11379,110-ZM-T01,Zambia,PMO - US,From RDC,N/A - From RDC,HRDT,HIV test,SCMS from RDC,Air,Air,2007-05-21,2007-05-21,2007-05-21,2007,5,2007-05,NA,1250.72,Numeric,FALSE,FALSE,9040,NA,On-Time,0
11381,107-RW-T01,Rwanda,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2007-03-17,2007-03-17,2007-03-17,2007,3,2007-03,265,11931,Numeric,FALSE,FALSE,68000,45.02264150943396,On-Time,0
11383,110-ZM-T01,Zambia,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-04-20,2007-04-20,2007-04-20,2007,4,2007-04,239,1684.15,Numeric,FALSE,FALSE,177500,7.046652719665272,On-Time,0
11384,107-RW-T01,Rwanda,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2007-05-14,2007-05-14,2007-05-14,2007,5,2007-05,NA,NA,Cross-reference,TRUE,FALSE,188.37,NA,On-Time,0
11385,107-RW-T01,Rwanda,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,Air,Air,2007-05-14,2007-05-14,2007-05-14,2007,5,2007-05,NA,NA,Cross-reference,TRUE,FALSE,651.78,NA,On-Time,0
11386,100-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-04-30,2007-04-30,2007-04-30,2007,4,2007-04,974,3166,Numeric,FALSE,FALSE,67500,3.2505133470225873,On-Time,0
11387,104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-06-28,2007-06-28,2007-06-28,2007,6,2007-06,235,1619,Numeric,FALSE,FALSE,862.15,6.889361702127659,On-Time,0
11390,104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-06-25,2007-06-25,2007-06-25,2007,6,2007-06,95,1448,Numeric,FALSE,FALSE,34260.6,15.242105263157894,On-Time,0
11391,104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Pediatric,SCMS from RDC,N/A,NA,2007-07-05,2007-07-05,2007-07-05,2007,7,2007-07,6634,15561,Numeric,FALSE,FALSE,17048.2,2.3456436539041303,On-Time,0
11393,110-ZM-T01,Zambia,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-06-14,2007-06-14,2007-06-14,2007,6,2007-06,NA,NA,Cross-reference,TRUE,FALSE,420711.24,NA,On-Time,0
11394,110-ZM-T01,Zambia,PMO - US,From RDC,N/A - From RDC,ARV,Pediatric,SCMS from RDC,N/A,NA,2007-06-12,2007-06-12,2007-06-12,2007,6,2007-06,26,505.17,Numeric,FALSE,FALSE,1977.9,19.429615384615385,On-Time,0
11395,110-ZM-T01,Zambia,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-06-20,2007-06-20,2007-06-20,2007,6,2007-06,614,2880.35,Numeric,FALSE,FALSE,115902,4.691123778501629,On-Time,0
11397,104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-06-15,2007-06-15,2007-06-15,2007,6,2007-06,1313,3908,Numeric,FALSE,FALSE,62602.5,2.9763899466869765,On-Time,0
11398,104-CI-T01,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,ARV,Adult,SCMS from RDC,N/A,NA,2007-06-15,2007-06-15,2007-06-15,2007,6,2007-06,NA,NA,Cross-reference,TRUE,FALSE,50172.32,NA,On-Time,0
